,Team Name,Year,Games Played,Minutes,Free Throws,Points,Three Pointers,Second Chance Points,Counter Attack Points,Blocks,Blocked Attempts,Personal Fouls,Flagrant Fouls,Team Technical Fouls,Team Fouls,Total Rebounds,Total Fouls,Assists,Turnovers,Assists Turnover Ratio,Steals,Two Pointers,Rebounds
235,Los Angeles Lakers,2020,72,17455.0,1241,7887,796,956,956,386,327,1377,9,14,21,3812,1398,1775,1095,1.62,562,2129,3185
236,Denver Nuggets,2020,72,17480.0,1129,8284,927,990,893,323,325,1374,3,19,27,3738,1401,1933,972,1.99,582,2187,3200
237,Indiana Pacers,2020,72,17455.0,1183,8302,889,922,1194,460,380,1453,9,16,22,3613,1475,1973,975,2.02,611,2226,3072
238,Chicago Bulls,2020,72,17380.0,995,7969,904,952,830,304,364,1362,5,10,16,3766,1378,1927,1089,1.77,482,2131,3237
239,Dallas Mavericks,2020,72,17305.0,1186,8096,994,887,819,311,264,1396,8,10,17,3687,1413,1647,869,1.9,450,1964,3120
240,New Orleans Pelicans,2021,82,19755.0,1501,8962,873,1237,1170,328,391,1612,7,20,23,4351,1635,2047,1089,1.88,680,2421,3707
241,San Antonio Spurs,2021,82,19805.0,1262,9279,925,1172,1116,403,403,1483,3,16,22,4376,1505,2289,1009,2.27,626,2621,3716
242,Orlando Magic,2021,82,19780.0,1270,8547,999,1018,886,367,428,1612,3,17,18,4311,1630,1947,1188,1.64,555,2140,3631
243,Memphis Grizzlies,2021,82,19780.0,1393,9480,945,1533,1453,533,496,1620,3,27,32,4776,1652,2131,1082,1.97,800,2626,4032
244,Boston Celtics,2021,82,19905.0,1397,9164,1085,1066,907,478,376,1521,7,20,27,4349,1548,2036,1118,1.82,591,2256,3778
245,Philadelphia 76ers,2021,82,19805.0,1605,9015,950,927,1003,435,379,1590,9,20,23,4062,1613,1945,1027,1.89,633,2280,3470
246,Toronto Raptors,2021,82,19855.0,1327,8970,979,1350,1299,376,416,1607,6,21,29,4411,1636,1809,1021,1.77,738,2353,3717
247,Brooklyn Nets,2021,82,19755.0,1434,9258,940,1124,1125,448,403,1670,10,15,16,4296,1686,2071,1153,1.8,582,2502,3640
248,New York Knicks,2021,82,19780.0,1473,8731,1082,1186,870,399,379,1672,5,16,20,4538,1692,1793,1087,1.65,570,2006,3782
249,Milwaukee Bucks,2021,82,19755.0,1459,9470,1153,1107,1078,326,357,1494,6,25,34,4485,1528,1960,1100,1.78,623,2276,3830
250,Chicago Bulls,2021,82,19730.0,1436,9152,872,909,1045,336,410,1540,7,9,12,4039,1552,1958,1053,1.86,585,2550,3471
251,Cleveland Cavaliers,2021,82,19730.0,1376,8839,953,1032,915,343,380,1433,5,17,24,4261,1457,2064,1181,1.75,580,2302,3623
252,Indiana Pacers,2021,82,19880.0,1347,9140,997,1204,1088,457,401,1675,7,18,24,4330,1699,2081,1183,1.76,582,2401,3596
253,Detroit Pistons,2021,82,19780.0,1413,8596,925,1113,859,393,427,1799,5,18,23,4175,1822,1924,1163,1.65,630,2204,3525
254,Miami Heat,2021,82,19855.0,1416,9022,1114,1038,890,265,330,1679,5,25,33,4187,1712,2090,1194,1.75,606,2132,3585
255,Dallas Mavericks,2021,82,19755.0,1341,8858,1073,898,821,325,300,1612,4,15,19,4154,1631,1918,1025,1.87,552,2149,3528
256,Atlanta Hawks,2021,82,19705.0,1485,9343,1056,1002,796,348,367,1534,9,16,23,4213,1557,2017,972,2.08,587,2345,3606
257,Washington Wizards,2021,82,19830.0,1393,8907,860,976,802,406,344,1545,3,20,21,4147,1566,2052,1037,1.98,522,2467,3535
258,Utah Jazz,2021,82,19730.0,1470,9316,1192,1223,830,402,352,1547,4,26,29,4498,1576,1836,1149,1.6,588,2135,3800
259,Denver Nuggets,2021,82,19805.0,1372,9243,1039,1027,1106,305,392,1639,3,21,30,4219,1669,2279,1189,1.92,592,2377,3617
260,Minnesota Timberwolves,2021,82,19780.0,1474,9507,1211,1212,1247,460,397,1786,5,38,45,4287,1831,2106,1175,1.79,721,2200,3621
261,Portland Trail Blazers,2021,82,19730.0,1346,8711,1043,1116,1019,366,409,1728,10,12,15,4159,1743,1880,1187,1.58,657,2118,3515
262,Oklahoma City Thunder,2021,82,19805.0,1233,8506,991,973,872,380,490,1497,8,12,12,4379,1509,1822,1145,1.59,622,2150,3741
263,Phoenix Suns,2021,82,19730.0,1303,9416,951,994,1024,359,327,1633,7,28,29,4301,1662,2244,1012,2.22,702,2630,3714
264,Golden State Warriors,2021,82,19730.0,1280,9102,1176,1037,1132,372,317,1723,11,24,35,4370,1758,2223,1174,1.89,719,2147,3730
265,LA Clippers,2021,82,19780.0,1273,8890,1047,890,972,406,339,1528,7,22,24,4217,1552,1969,1126,1.75,608,2238,3607
266,Los Angeles Lakers,2021,82,19980.0,1380,9192,982,994,1215,425,338,1654,11,25,34,4320,1688,1968,1191,1.65,626,2433,3608
267,Sacramento Kings,2021,82,19805.0,1466,9045,937,1075,962,369,395,1552,3,13,16,4180,1568,1943,1156,1.68,588,2384,3521
268,Charlotte Hornets,2021,82,19880.0,1298,9457,1143,1107,1334,402,377,1629,6,26,29,4277,1658,2302,1087,2.12,707,2365,3655
269,Houston Rockets,2021,82,19755.0,1434,8997,1105,1166,1000,382,474,1692,4,21,27,4247,1719,1932,1351,1.43,600,2124,3446
