,Team Name,Year,Games Played,Minutes,Free Throws,Points,Three Pointers,Second Chance Points,Counter Attack Points,Blocks,Blocked Attempts,Personal Fouls,Flagrant Fouls,Team Technical Fouls,Team Fouls,Total Rebounds,Total Fouls,Assists,Turnovers,Assists Turnover Ratio,Steals,Two Pointers,Rebounds
119,Philadelphia 76ers,2016,82,20070.0,1393,8400,831,1092,1064,420,446,1793,5,17,21,4208,1814,1949,1368,1.42,692,2257,3513
120,Minnesota Timberwolves,2017,82,19805.0,1592,8980,658,1114,793,345,382,1495,5,20,27,4082,1522,1862,1021,1.82,689,2707,3441
121,San Antonio Spurs,2017,82,19730.0,1324,8424,696,1095,841,460,318,1408,0,19,31,4247,1439,1868,1078,1.73,628,2506,3626
122,Los Angeles Lakers,2017,82,19905.0,1364,8862,822,1157,1438,388,447,1736,5,28,39,4518,1775,1949,1295,1.51,633,2516,3803
123,Indiana Pacers,2017,82,19755.0,1225,8656,741,982,1211,340,428,1544,2,20,27,4069,1571,1819,1088,1.67,721,2604,3472
124,Sacramento Kings,2017,82,19755.0,1008,8104,738,941,856,340,389,1639,2,12,14,4011,1653,1768,1125,1.57,643,2441,3354
125,Cleveland Cavaliers,2017,82,19730.0,1488,9091,981,924,1023,312,340,1524,4,13,14,4078,1538,1916,1126,1.7,582,2330,3455
126,Toronto Raptors,2017,82,19830.0,1422,9156,968,1058,1089,500,401,1783,2,17,20,4220,1803,1995,1095,1.82,626,2415,3607
127,Portland Trail Blazers,2017,82,19755.0,1372,8661,845,1110,662,423,418,1599,4,14,16,4378,1615,1599,1109,1.44,573,2377,3728
128,Brooklyn Nets,2017,82,19855.0,1428,8741,1041,1021,878,390,450,1688,1,26,30,4277,1718,1941,1245,1.56,512,2095,3644
129,LA Clippers,2017,82,19705.0,1556,8937,777,1148,1090,372,462,1638,2,27,34,4331,1672,1832,1204,1.52,628,2525,3599
130,Chicago Bulls,2017,82,19855.0,1194,8440,906,917,966,289,423,1571,5,28,33,4304,1604,1923,1147,1.68,626,2264,3662
131,Oklahoma City Thunder,2017,82,19830.0,1421,8844,881,1239,1246,412,377,1653,5,27,32,4483,1685,1750,1147,1.53,743,2390,3695
132,New Orleans Pelicans,2017,82,19955.0,1324,9161,837,980,1251,485,344,1570,5,16,24,4271,1594,2195,1223,1.79,657,2663,3635
133,Milwaukee Bucks,2017,82,19830.0,1499,8731,718,861,1201,443,366,1752,9,21,22,3868,1774,1905,1134,1.68,722,2539,3267
134,Golden State Warriors,2017,82,19730.0,1360,9304,926,847,1583,612,300,1607,2,22,28,4092,1635,2402,1265,1.9,655,2583,3568
135,Phoenix Suns,2017,82,19705.0,1453,8522,763,1061,1177,370,488,1807,10,22,23,4361,1830,1743,1289,1.35,569,2390,3618
136,New York Knicks,2017,82,19830.0,1225,8566,673,1101,705,421,389,1682,6,28,36,4279,1718,1912,1207,1.58,552,2661,3611
137,Houston Rockets,2017,82,19755.0,1609,9213,1256,946,937,392,363,1597,1,21,24,4212,1621,1767,1135,1.56,699,1918,3564
138,Utah Jazz,2017,82,19755.0,1375,8540,887,931,834,420,380,1608,1,18,23,4163,1631,1839,1205,1.53,708,2252,3547
139,Denver Nuggets,2017,82,19880.0,1404,9020,940,1152,1100,404,391,1533,3,18,23,4313,1556,2059,1227,1.68,627,2398,3650
140,Detroit Pistons,2017,82,19805.0,1207,8509,886,1045,887,317,398,1508,3,29,34,4231,1542,1868,1102,1.7,628,2322,3586
141,Miami Heat,2017,82,19930.0,1209,8480,903,922,762,437,378,1648,1,16,24,4203,1672,1862,1178,1.58,620,2281,3564
142,Memphis Grizzlies,2017,82,19705.0,1361,8145,758,960,1080,396,421,1900,3,20,31,4001,1931,1767,1227,1.44,613,2255,3323
143,Atlanta Hawks,2017,82,19705.0,1298,8475,917,988,850,348,453,1606,3,37,44,4104,1650,1946,1276,1.53,638,2213,3436
144,Charlotte Hornets,2017,82,19780.0,1656,8874,824,1079,761,373,404,1409,5,23,28,4468,1437,1770,1041,1.7,559,2373,3728
145,Washington Wizards,2017,82,19855.0,1378,8742,814,1040,950,353,383,1746,3,22,28,4192,1774,2065,1196,1.73,645,2461,3536
146,Dallas Mavericks,2017,82,19805.0,1167,8390,967,850,816,310,369,1578,1,19,25,3983,1603,1858,1007,1.85,578,2161,3383
147,Philadelphia 76ers,2017,82,19780.0,1405,9004,901,1121,939,420,417,1811,7,20,23,4557,1834,2221,1353,1.64,682,2448,3889
148,Orlando Magic,2017,82,19730.0,1271,8479,844,879,1037,400,402,1579,3,14,18,4082,1597,1921,1191,1.61,622,2338,3414
149,Boston Celtics,2017,82,19805.0,1308,8529,939,992,778,373,364,1618,2,17,21,4302,1639,1842,1149,1.6,604,2202,3645
150,Utah Jazz,2018,82,19755.0,1540,9161,993,1089,871,483,376,1728,4,22,25,4585,1753,2133,1240,1.72,663,2321,3801
151,LA Clippers,2018,82,19830.0,1853,9442,821,1079,1172,385,498,1913,6,27,37,4413,1950,1970,1193,1.65,561,2563,3732
152,Brooklyn Nets,2018,82,19980.0,1555,9204,1047,1135,953,339,432,1763,2,21,26,4609,1789,1954,1236,1.58,539,2254,3819
153,Miami Heat,2018,82,19730.0,1238,8668,928,1160,813,448,389,1712,2,17,20,4557,1732,1991,1208,1.65,627,2323,3800
154,Boston Celtics,2018,82,19780.0,1282,9216,1032,1022,1332,435,317,1670,5,14,16,4281,1686,2155,1052,2.05,706,2419,3653
155,San Antonio Spurs,2018,82,19805.0,1408,9156,812,948,849,386,332,1487,2,17,24,4212,1511,2013,992,2.03,501,2656,3667
156,Portland Trail Blazers,2018,82,19855.0,1558,9402,904,1232,905,413,420,1669,2,19,22,4578,1691,1887,1135,1.66,546,2566,3935
157,Golden State Warriors,2018,82,19805.0,1339,9650,1087,1031,1566,525,295,1757,5,16,23,4363,1780,2413,1169,2.06,625,2525,3787
158,Milwaukee Bucks,2018,82,19780.0,1471,9686,1105,961,1452,486,395,1608,2,23,29,4712,1637,2136,1137,1.88,615,2450,4078
159,Charlotte Hornets,2018,82,19830.0,1510,9081,977,1065,963,405,492,1550,4,24,27,4308,1577,1905,1002,1.9,591,2320,3592
160,Phoenix Suns,2018,82,19880.0,1447,8815,790,992,1247,418,411,1932,5,27,32,3965,1964,1957,1279,1.53,735,2499,3311
161,Atlanta Hawks,2018,82,19855.0,1443,9294,1067,1155,1249,419,448,1932,8,27,29,4487,1961,2118,1397,1.52,675,2325,3780
162,Dallas Mavericks,2018,82,19780.0,1541,8927,1022,1061,1006,351,368,1650,5,20,27,4488,1677,1918,1167,1.64,533,2160,3716
163,Oklahoma City Thunder,2018,82,19855.0,1461,9387,932,1271,1494,425,415,1839,5,17,25,4703,1864,1917,1145,1.67,766,2565,3942
164,Washington Wizards,2018,82,19930.0,1508,9350,930,1017,1156,379,378,1701,4,22,30,4159,1731,2154,1154,1.87,683,2526,3473
165,New York Knicks,2018,82,19780.0,1484,8575,823,1092,908,422,458,1713,4,21,30,4369,1743,1646,1151,1.43,557,2311,3668
166,Sacramento Kings,2018,82,19730.0,1354,9363,927,1124,1715,363,420,1751,4,22,30,4418,1781,2083,1095,1.9,679,2614,3725
167,Memphis Grizzlies,2018,82,19880.0,1453,8490,811,916,1012,448,402,1801,0,28,38,4067,1839,1963,1147,1.71,684,2302,3426
168,Houston Rockets,2018,82,19830.0,1582,9341,1323,1074,987,405,369,1803,2,20,23,4139,1826,1741,1095,1.59,700,1895,3449
169,Minnesota Timberwolves,2018,82,19830.0,1570,9223,827,1235,956,411,455,1664,3,12,14,4403,1678,2018,1074,1.88,683,2586,3673
170,Detroit Pistons,2018,82,19855.0,1415,8778,993,1088,823,331,419,1811,5,18,22,4434,1833,1845,1135,1.63,569,2192,3688
171,Indiana Pacers,2018,82,19705.0,1298,8857,779,1093,1196,404,425,1594,5,22,31,4232,1625,2128,1122,1.9,713,2611,3528
172,Cleveland Cavaliers,2018,82,19755.0,1342,8567,847,1108,868,195,459,1642,5,15,22,4129,1664,1698,1106,1.54,534,2342,3498
173,Orlando Magic,2018,82,19780.0,1231,8800,937,1014,887,445,362,1526,2,24,31,4323,1557,2095,1082,1.94,543,2379,3724
174,Los Angeles Lakers,2018,82,19780.0,1336,9165,847,1051,1586,440,421,1701,4,42,51,4595,1752,2096,1284,1.63,618,2644,3820
175,Chicago Bulls,2018,82,19905.0,1328,8605,745,896,989,351,473,1663,2,27,38,4140,1701,1796,1159,1.55,603,2521,3517
176,Philadelphia 76ers,2018,82,19805.0,1742,9445,889,1159,1230,432,336,1745,5,16,20,4600,1765,2207,1223,1.8,606,2518,3917
177,Toronto Raptors,2018,82,19880.0,1449,9384,1015,1037,1506,437,368,1724,3,35,44,4331,1768,2085,1150,1.81,680,2445,3706
178,Denver Nuggets,2018,82,19730.0,1294,9075,903,1274,1032,363,407,1644,2,28,38,4514,1682,2245,1102,2.04,634,2536,3804
179,New Orleans Pelicans,2018,82,19755.0,1462,9466,842,1176,1216,441,445,1732,1,22,28,4545,1760,2216,1215,1.82,610,2739,3878
180,Sacramento Kings,2019,72,17455.0,1127,7927,914,911,917,293,304,1595,3,17,23,3633,1618,1713,1043,1.64,556,2029,3067
181,Philadelphia 76ers,2019,73,17595.0,1236,8084,848,954,987,389,294,1529,6,26,35,3926,1564,1884,1037,1.82,586,2152,3317
182,Los Angeles Lakers,2019,71,17090.0,1260,8054,782,1004,1303,468,263,1471,4,15,23,3847,1494,1803,1077,1.67,612,2224,3247
183,Brooklyn Nets,2019,72,17480.0,1291,8048,941,981,943,323,379,1510,2,30,40,4151,1550,1761,1099,1.6,464,1967,3449
184,Houston Rockets,2019,72,17380.0,1484,8482,1126,874,1049,371,354,1566,7,8,10,3799,1576,1557,1057,1.47,627,1810,3188
185,Boston Celtics,2019,72,17430.0,1336,8183,905,954,1096,406,396,1553,4,13,17,3909,1570,1655,995,1.66,595,2066,3317
186,Toronto Raptors,2019,72,17380.0,1329,8118,995,856,1356,358,395,1559,6,39,51,3865,1610,1816,1067,1.7,636,1902,3268
187,Memphis Grizzlies,2019,73,17570.0,1212,8222,798,1003,1253,398,386,1546,6,20,21,4017,1567,1965,1113,1.77,576,2308,3397
188,Golden State Warriors,2019,65,15725.0,1214,6912,678,773,894,299,321,1304,2,15,22,3294,1326,1663,969,1.72,534,1832,2785
189,LA Clippers,2019,72,17380.0,1498,8377,895,1024,986,338,338,1594,5,19,27,4049,1621,1708,1051,1.63,511,2097,3431
190,Milwaukee Bucks,2019,73,17595.0,1336,8663,1007,901,1312,429,326,1431,6,29,38,4357,1469,1889,1102,1.71,526,2153,3774
191,Denver Nuggets,2019,73,17745.0,1185,8124,801,1039,864,337,324,1485,2,19,25,3818,1510,1952,1005,1.94,586,2268,3222
192,Indiana Pacers,2019,73,17620.0,1096,7989,743,861,935,376,335,1445,4,11,15,3690,1460,1888,967,1.95,543,2332,3125
193,New York Knicks,2019,66,15965.0,1076,6983,631,1011,621,313,333,1464,11,14,15,3703,1479,1456,946,1.54,504,2007,3069
194,Orlando Magic,2019,73,17570.0,1282,7831,807,925,872,396,338,1336,2,15,21,3854,1357,1747,937,1.86,599,2064,3249
195,Cleveland Cavaliers,2019,65,15725.0,983,6948,727,879,685,211,412,1188,5,8,10,3412,1198,1500,1073,1.4,448,1892,2876
196,Minnesota Timberwolves,2019,64,15560.0,1223,7248,853,866,721,362,355,1370,3,17,26,3466,1396,1525,981,1.55,555,1733,2868
197,Detroit Pistons,2019,66,15965.0,1097,7078,791,880,724,299,369,1299,7,15,21,3348,1320,1589,1008,1.58,490,1804,2753
198,San Antonio Spurs,2019,71,17215.0,1348,8098,760,779,946,390,308,1377,5,14,20,3668,1397,1751,895,1.96,518,2235,3170
199,Chicago Bulls,2019,65,15675.0,1006,6945,793,866,962,265,384,1417,5,23,30,3220,1447,1510,1005,1.5,652,1780,2721
200,Portland Trail Blazers,2019,74,17835.0,1312,8508,952,943,974,451,364,1606,6,30,37,3951,1643,1525,946,1.61,465,2170,3353
201,Washington Wizards,2019,72,17355.0,1394,8238,864,946,965,309,363,1634,5,25,34,3637,1668,1801,1020,1.77,574,2126,3027
202,Utah Jazz,2019,72,17355.0,1278,8013,963,893,754,292,329,1468,6,22,29,3806,1497,1615,1089,1.48,438,1923,3233
203,Dallas Mavericks,2019,75,18175.0,1392,8776,1136,1085,879,363,311,1462,5,15,25,4148,1487,1849,953,1.94,460,1988,3520
204,Miami Heat,2019,73,17745.0,1440,8179,979,861,827,332,302,1501,6,18,22,3877,1523,1892,1088,1.74,547,1901,3239
205,Phoenix Suns,2019,73,17595.0,1451,8294,831,889,1072,290,401,1609,11,9,9,3698,1618,1987,1077,1.84,559,2175,3177
206,Atlanta Hawks,2019,67,16280.0,1237,7488,805,894,862,341,428,1548,3,26,34,3503,1582,1605,1086,1.48,523,1918,2898
207,Oklahoma City Thunder,2019,72,17430.0,1422,7950,770,769,683,353,290,1390,5,14,20,3684,1410,1562,986,1.58,550,2109,3088
208,Charlotte Hornets,2019,65,15750.0,1052,6687,785,873,756,268,328,1223,3,21,25,3314,1248,1549,949,1.63,428,1640,2781
209,New Orleans Pelicans,2019,72,17430.0,1229,8341,982,1046,1195,358,348,1524,4,22,29,4039,1553,1932,1181,1.64,539,2083,3348
210,Sacramento Kings,2020,72,17305.0,1181,8189,874,880,1015,358,336,1400,2,15,17,3567,1417,1836,924,1.99,543,2193,2981
211,Houston Rockets,2020,72,17305.0,1189,7833,992,878,802,361,378,1407,6,13,16,3648,1423,1699,1060,1.6,546,1834,3067
212,Orlando Magic,2020,72,17330.0,1196,7488,784,949,741,318,384,1237,5,9,12,3795,1249,1571,924,1.7,496,1970,3272
213,Memphis Grizzlies,2020,72,17405.0,1184,8157,803,1078,1244,364,377,1349,6,19,26,3883,1375,1938,957,2.03,655,2282,3346
214,Detroit Pistons,2020,72,17430.0,1278,7676,832,917,768,371,419,1477,7,13,15,3682,1492,1743,1075,1.62,531,1951,3075
215,Miami Heat,2020,72,17380.0,1201,7781,932,730,854,286,287,1363,3,15,16,3522,1379,1895,1013,1.87,569,1892,2988
216,Washington Wizards,2020,72,17405.0,1449,8398,733,933,809,297,348,1555,7,25,33,3850,1588,1835,1037,1.77,528,2375,3254
217,San Antonio Spurs,2020,72,17480.0,1254,7998,716,872,845,366,369,1293,3,5,8,3683,1301,1759,821,2.14,505,2298,3158
218,Boston Celtics,2020,72,17380.0,1160,8109,979,961,853,383,334,1471,5,6,9,3777,1480,1689,1012,1.67,556,2006,3186
219,Charlotte Hornets,2020,72,17355.0,1146,7881,985,914,976,344,347,1298,3,26,31,3734,1329,1933,1069,1.81,565,1890,3151
220,Phoenix Suns,2020,72,17480.0,1124,8300,940,929,940,312,258,1374,3,15,18,3536,1392,1939,902,2.15,517,2178,3092
221,Philadelphia 76ers,2020,72,17430.0,1409,8182,811,1002,1093,447,335,1456,8,14,17,3837,1473,1706,1040,1.64,655,2170,3244
222,New York Knicks,2020,72,17430.0,1181,7706,847,895,640,365,391,1473,2,19,28,3812,1501,1541,932,1.65,507,1992,3250
223,Oklahoma City Thunder,2020,72,17355.0,1113,7560,857,845,662,316,378,1305,0,18,18,3860,1323,1588,1162,1.37,504,1938,3283
224,Golden State Warriors,2020,72,17305.0,1193,8187,1048,753,1039,342,312,1526,5,11,15,3640,1541,1991,1080,1.84,587,1925,3098
225,Atlanta Hawks,2020,72,17405.0,1417,8186,895,1032,717,342,363,1392,4,12,14,3836,1406,1737,953,1.82,503,2042,3285
226,Brooklyn Nets,2020,72,17405.0,1305,8537,1020,885,1031,379,330,1371,1,12,12,3725,1383,1929,975,1.98,484,2086,3199
227,Milwaukee Bucks,2020,72,17330.0,1169,8649,1038,951,1044,334,348,1244,4,19,20,4000,1264,1834,995,1.84,585,2183,3465
228,New Orleans Pelicans,2020,72,17430.0,1369,8251,762,1070,1013,315,426,1295,9,14,20,4032,1315,1872,1052,1.78,545,2298,3413
229,Portland Trail Blazers,2020,72,17305.0,1282,8360,1132,1054,836,363,333,1362,5,12,15,3722,1377,1531,799,1.92,496,1841,3207
230,Utah Jazz,2020,72,17355.0,1235,8382,1205,980,858,371,282,1335,3,16,17,4034,1352,1703,973,1.75,474,1766,3474
231,LA Clippers,2020,72,17280.0,1164,8209,1027,937,743,295,304,1383,4,20,21,3659,1404,1756,950,1.85,509,1982,3179
232,Minnesota Timberwolves,2020,72,17405.0,1265,8073,944,985,869,398,398,1507,3,16,21,3742,1528,1846,1027,1.8,632,1988,3133
233,Toronto Raptors,2020,72,17305.0,1252,8011,1041,897,988,388,402,1526,6,24,33,3550,1559,1735,952,1.82,618,1818,2994
234,Cleveland Cavaliers,2020,72,17430.0,1200,7476,720,932,817,325,425,1308,3,19,27,3706,1335,1716,1114,1.54,559,2058,3078
