,Player,Team Name,Position,Year,Games Played,Games Started,Field Goals Made,Minutes,Free Throws,Points,Blocks,Blocked Attempts,Personal Fouls,Assists,Turnovers,Assists Turnover Ratio,Steals,Three Pointers,Two Pointers,Rebounds
2355,Mirza Teletovic,Milwaukee Bucks,F,2017,10,0,25,159.0,0,71,1,1,14,10,7,1.43,4,21,4,23
2356,Delon Wright,Toronto Raptors,G,2017,69,4,201,1433.0,97,555,33,26,81,200,78,2.56,72,56,145,198
2357,Pascal Siakam,Toronto Raptors,F,2017,81,5,253,1679.0,54,589,42,29,166,159,67,2.37,62,29,224,364
2358,Jordan Mickey,Miami Heat,C-F,2017,23,3,39,284.0,13,93,10,6,36,9,18,0.5,6,2,37,81
2359,Tyler Johnson,Miami Heat,G,2017,72,39,309,2052.0,106,843,34,39,148,165,81,2.04,60,119,190,248
2360,Kelly Olynyk,Miami Heat,F-C,2017,76,22,316,1779.0,134,872,35,38,222,207,147,1.41,62,106,210,431
2361,Derrick Walton Jr.,Miami Heat,G,2017,16,0,8,147.0,6,29,3,1,7,16,2,8.0,7,7,1,16
2362,Rodney McGruder,Miami Heat,G,2017,18,2,36,299.0,4,91,3,2,21,17,4,4.25,8,15,21,33
2363,Okaro White,Miami Heat,F,2017,6,4,7,80.0,2,20,1,1,6,2,1,2.0,1,4,3,11
2364,Luke Babbitt,Miami Heat,F,2017,13,5,11,145.0,0,33,2,2,7,5,4,1.25,1,11,0,15
2365,Udonis Haslem,Miami Heat,F,2017,14,0,3,72.0,1,8,2,0,3,5,2,2.5,0,1,2,10
2366,Josh Richardson,Miami Heat,G,2017,81,81,399,2689.0,120,1045,75,38,199,231,140,1.65,121,127,272,285
2367,Goran Dragic,Miami Heat,G,2017,75,75,484,2378.0,217,1296,12,52,180,359,166,2.16,63,111,373,306
2368,Alfonzo McKinnie,Toronto Raptors,F,2017,14,0,8,53.0,2,21,1,0,8,1,3,0.33,1,3,5,7
2369,Jonas Valanciunas,Toronto Raptors,C,2017,77,77,390,1727.0,170,980,69,47,192,81,115,0.7,29,30,360,660
2370,Lorenzo Brown,Toronto Raptors,G,2017,14,0,14,139.0,2,32,0,1,7,13,3,4.33,5,2,12,15
2371,OG Anunoby,Toronto Raptors,F,2017,74,62,163,1482.0,39,438,14,23,130,55,45,1.22,52,73,90,184
2372,Kyle Lowry,Toronto Raptors,G,2017,78,78,403,2510.0,223,1267,19,42,192,537,183,2.93,85,238,165,434
2373,Malachi Richardson,Toronto Raptors,G,2017,1,0,1,5.0,0,2,0,0,0,0,0,0.0,0,0,1,1
2374,Malcolm Miller,Toronto Raptors,G-F,2017,15,4,13,126.0,4,38,2,0,10,3,5,0.6,1,8,5,15
2375,C.J. Miles,Toronto Raptors,F-G,2017,70,3,227,1336.0,81,699,21,19,134,55,39,1.41,37,164,63,152
2376,Bruno Caboclo,Toronto Raptors,F,2017,2,0,0,7.0,0,0,0,0,1,1,0,0.0,1,0,0,1
