,Player,Team Name,Position,Year,Games Played,Games Started,Field Goals Made,Minutes,Free Throws,Points,Blocks,Blocked Attempts,Personal Fouls,Assists,Turnovers,Assists Turnover Ratio,Steals,Three Pointers,Two Pointers,Rebounds
426,Andre Roberson,Oklahoma City Thunder,G-F,2013,40,16,33,399.0,7,75,10,5,74,15,19,0.79,19,2,31,94
427,Ryan Gomes,Oklahoma City Thunder,F,2013,5,0,3,34.0,0,6,0,1,5,1,1,1.0,0,0,3,4
428,Nick Collison,Oklahoma City Thunder,F,2013,81,0,134,1353.0,66,338,28,25,187,104,71,1.46,30,4,130,293
429,Steven Adams,Oklahoma City Thunder,C,2013,81,20,93,1197.0,79,265,57,13,203,43,71,0.61,40,0,93,332
430,Kevin Durant,Oklahoma City Thunder,F,2013,81,81,849,3122.0,703,2593,59,42,174,445,285,1.56,103,192,657,598
431,Russell Westbrook,Oklahoma City Thunder,G,2013,46,46,346,1412.0,242,1002,7,39,104,319,177,1.8,88,68,278,263
432,Reggie Williams,Oklahoma City Thunder,F-G,2013,3,0,5,17.0,0,11,0,0,1,1,2,0.5,1,1,4,0
433,Serge Ibaka,Oklahoma City Thunder,C-F,2013,81,81,524,2666.0,156,1227,219,33,233,85,123,0.69,39,23,501,709
434,Royal Ivey,Oklahoma City Thunder,G,2013,2,0,0,5.0,0,0,0,0,1,0,0,0.0,0,0,0,1
435,Hasheem Thabeet,Oklahoma City Thunder,C,2013,23,0,13,192.0,1,27,9,1,47,1,14,0.07,4,0,13,40
436,Kendrick Perkins,Oklahoma City Thunder,C,2013,62,62,87,1207.0,37,211,32,25,177,67,90,0.74,26,0,87,305
437,Caron Butler,Oklahoma City Thunder,F,2013,22,0,76,598.0,16,213,6,3,56,26,8,3.25,24,45,31,71
438,Eric Maynor,Philadelphia 76ers,G,2013,8,0,11,112.0,4,30,2,1,4,12,12,1.0,4,4,7,15
439,Steve Blake,Golden State Warriors,G,2013,28,1,45,607.0,5,122,6,1,36,102,31,3.29,20,27,18,56
440,Harrison Barnes,Golden State Warriors,F,2013,78,24,271,2204.0,130,738,20,41,158,116,84,1.38,65,66,205,311
441,Jared Sullinger,Boston Celtics,C-F,2013,74,44,384,2041.0,158,982,49,53,251,118,119,0.99,35,56,328,601
442,Brandon Bass,Boston Celtics,F,2013,82,73,352,2266.0,205,911,71,48,190,87,102,0.85,36,2,350,470
443,Joel Anthony,Boston Celtics,C,2013,21,0,10,149.0,2,22,8,2,13,2,2,1.0,3,0,10,31
444,Keith Bogans,Boston Celtics,G-F,2013,6,0,3,55.0,3,12,0,1,2,3,1,3.0,1,3,0,3
445,Vander Blue,Boston Celtics,G,2013,3,0,2,15.0,1,5,0,0,1,1,2,0.5,0,0,2,3
446,Chris Johnson,Boston Celtics,G-F,2013,40,0,85,789.0,37,250,4,14,63,31,22,1.41,27,43,42,97
447,Phil Pressey,Boston Celtics,G,2013,75,11,78,1132.0,29,213,5,10,97,241,87,2.77,68,28,50,105
448,Jerryd Bayless,Boston Celtics,G,2013,41,14,158,1036.0,49,416,4,13,89,128,60,2.13,40,51,107,86
449,Casper Ware,Philadelphia 76ers,G,2013,9,0,18,116.0,5,48,0,1,11,10,5,2.0,8,7,11,9
450,Tony Wroten,Philadelphia 76ers,G,2013,72,16,345,1765.0,209,939,16,78,151,217,204,1.06,78,40,305,228
451,Michael Carter-Williams,Philadelphia 76ers,G,2013,70,70,427,2414.0,258,1167,43,110,213,441,247,1.79,130,55,372,437
452,Nerlens Noel,Philadelphia 76ers,F-C,2013,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0
453,Darius Johnson-Odom,Philadelphia 76ers,G,2013,3,0,0,15.0,0,0,0,0,3,1,2,0.5,1,0,0,2
454,Brandon Davies,Philadelphia 76ers,F,2013,51,0,54,575.0,34,144,8,11,92,28,35,0.8,24,2,52,109
455,James Anderson,Philadelphia 76ers,G-F,2013,80,62,309,2309.0,77,810,28,39,154,149,106,1.41,74,115,194,300
456,Adonis Thomas,Philadelphia 76ers,G-F,2013,2,1,3,13.0,0,7,0,0,4,1,1,1.0,0,1,2,0
457,Darius Morris,Philadelphia 76ers,G,2013,12,0,29,193.0,15,83,0,4,21,31,19,1.63,8,10,19,13
458,James Nunnally,Philadelphia 76ers,F,2013,9,0,9,111.0,3,26,1,0,9,6,3,2.0,5,5,4,11
459,Henry Sims,Philadelphia 76ers,C,2013,26,25,112,707.0,82,306,13,17,84,47,33,1.42,23,0,112,181
460,Thaddeus Young,Philadelphia 76ers,F,2013,79,78,582,2718.0,163,1417,36,83,213,182,165,1.1,167,90,492,476
461,Lavoy Allen,Philadelphia 76ers,F-C,2013,51,2,117,960.0,27,263,27,9,115,65,40,1.63,22,2,115,277
462,Arnett Moultrie,Philadelphia 76ers,F,2013,12,2,16,187.0,4,36,4,4,22,2,7,0.29,8,0,16,35
463,Elliot Williams,Philadelphia 76ers,G,2013,67,2,140,1157.0,87,404,3,31,126,72,68,1.06,35,37,103,130
464,Daniel Orton,Philadelphia 76ers,C,2013,22,4,21,251.0,23,65,16,7,38,15,18,0.83,6,0,21,61
465,Jason Richardson,Philadelphia 76ers,G,2013,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0
466,Lorenzo Brown,Philadelphia 76ers,G,2013,26,0,26,224.0,9,64,3,10,19,41,16,2.56,13,3,23,28
467,Dewayne Dedmon,Philadelphia 76ers,C,2013,11,0,15,150.0,7,37,9,1,28,3,9,0.33,0,0,15,49
468,Vitor Faverani,Boston Celtics,C,2013,37,8,64,488.0,24,164,27,15,74,16,41,0.39,14,12,52,128
469,Jeff Green,Boston Celtics,F,2013,82,82,482,2805.0,283,1382,47,49,180,138,165,0.84,57,135,347,380
470,Avery Bradley,Boston Celtics,G,2013,60,58,361,1855.0,90,891,11,43,145,85,96,0.89,63,79,282,226
471,Rajon Rondo,Boston Celtics,G,2013,30,30,141,998.0,42,350,2,27,65,294,99,2.97,40,26,115,164
472,Marreese Speights,Golden State Warriors,F-C,2013,79,3,195,982.0,110,508,34,20,148,32,66,0.48,10,8,187,290
